userid1,userid2,timestamp
646,664,2017-04-22 06:33:34
796,924,2015-05-21 19:19:09
756,512,2010-06-25 07:07:56
229,855,2016-04-19 19:10:28
385,612,2012-05-25 05:29:21
937,915,2011-03-19 09:28:05
687,363,2011-02-23 05:06:23
1,855,2017-04-12 12:26:34
764,879,2013-12-15 08:42:02
926,923,2017-10-24 22:21:09
86,130,2017-09-05 23:22:16
913,588,2010-03-19 04:53:15
735,873,2014-06-06 19:32:49
894,605,2017-06-12 22:50:21
945,943,2014-05-30 23:10:46
581,404,2016-04-30 21:10:59
927,339,2010-01-23 05:37:19
528,904,2012-10-01 11:19:42
499,391,2012-04-21 14:33:56
631,98,2013-10-06 02:18:57
643,953,2012-02-03 11:51:33
83,726,2016-08-10 09:22:29
362,527,2012-12-21 04:58:04
799,88,2012-01-25 10:23:47
831,293,2012-03-06 21:18:10
572,340,2017-06-21 06:49:20
56,25,2011-07-08 11:32:52
683,591,2013-02-25 13:00:27
367,298,2011-05-25 07:28:56
973,798,2013-01-24 00:55:01
358,637,2012-08-30 17:24:15
833,32,2016-02-19 12:14:00
315,200,2010-04-17 17:07:01
610,447,2016-12-23 04:28:32
742,840,2010-04-16 17:03:01
930,636,2017-06-02 16:43:25
708,798,2010-11-25 15:30:03
231,445,2017-03-17 20:37:40
940,942,2012-05-17 10:08:07
100,562,2014-05-21 10:50:32
72,306,2015-08-20 06:40:15
766,321,2014-04-27 09:47:39
371,183,2017-01-18 07:13:30
12,120,2014-01-30 01:35:03
818,341,2017-04-06 13:39:39
373,760,2012-11-30 18:01:57
489,610,2014-07-20 05:10:45
149,396,2017-03-25 16:14:54
573,149,2010-02-04 01:09:41
552,155,2015-10-05 01:02:19
963,959,2015-09-07 06:59:35
556,65,2010-10-26 01:59:06
815,363,2016-02-29 15:56:16
202,541,2010-11-19 04:52:11
23,518,2012-07-17 03:15:32
383,122,2016-12-29 15:16:59
188,979,2011-02-16 13:01:38
955,781,2017-07-01 10:28:01
279,724,2011-01-19 16:07:21
714,221,2016-05-20 17:26:43
897,1,2015-11-20 05:38:31
295,78,2010-05-08 10:20:05
243,898,2014-06-29 05:13:43
182,351,2016-07-21 10:11:44
765,870,2015-09-24 18:49:10
580,343,2010-07-28 01:26:01
972,694,2011-11-25 05:19:12
90,707,2014-04-02 18:39:18
786,316,2010-05-18 19:13:54
773,470,2012-10-19 10:15:46
804,146,2013-11-07 02:26:18
610,728,2010-04-04 12:59:04
498,171,2017-07-21 17:47:27
239,618,2010-09-02 10:31:45
365,250,2015-07-28 23:35:20
488,317,2014-08-06 10:20:21
4,948,2011-01-20 19:58:20
30,886,2017-03-05 07:46:14
493,606,2012-10-26 20:03:52
427,984,2013-12-08 10:04:08
118,709,2013-06-06 17:59:33
489,332,2015-01-14 05:04:43
529,877,2016-04-15 10:32:05
964,277,2011-08-10 19:49:04
278,354,2014-11-26 10:43:34
594,437,2014-11-28 14:18:06
724,509,2011-12-19 09:33:36
420,91,2011-01-16 07:32:49
322,350,2011-12-23 19:15:04
205,851,2011-01-25 03:22:06
723,250,2013-08-31 18:14:33
624,826,2014-11-03 15:08:13
881,95,2014-02-10 23:31:32
749,291,2017-09-20 05:38:05
827,764,2011-05-11 14:05:36
558,750,2010-06-19 02:48:36
803,946,2013-03-07 22:36:21
645,69,2012-11-25 20:07:52
35,269,2013-03-02 11:11:18
353,80,2014-07-15 03:58:39
734,146,2016-05-03 13:24:23
680,211,2013-06-24 09:58:43
799,575,2014-05-18 20:04:50
513,674,2014-12-20 00:04:17
979,436,2011-01-04 00:34:59
441,29,2010-11-27 16:38:44
572,679,2013-03-30 23:59:58
24,450,2017-01-19 06:50:50
509,631,2015-09-23 08:28:36
367,492,2016-02-18 07:19:02
899,767,2010-09-11 13:02:35
562,122,2015-01-11 23:48:43
266,416,2012-05-01 09:06:33
226,128,2011-01-18 09:42:37
456,905,2012-05-14 18:27:25
7,632,2011-04-24 16:18:57
962,549,2012-02-07 10:05:13
752,876,2012-07-15 08:07:51
669,208,2015-05-27 18:04:37
666,120,2017-06-25 13:34:46
896,379,2016-02-20 00:16:31
780,640,2013-05-11 01:36:21
210,790,2011-01-27 22:27:59
303,721,2014-04-27 22:45:00
325,635,2012-05-05 16:50:05
956,596,2013-02-17 01:14:37
544,786,2017-02-19 06:24:08
365,310,2011-09-23 21:25:31
954,686,2012-04-06 18:03:04
675,273,2013-05-19 00:45:39
452,786,2015-03-02 06:32:36
965,107,2016-10-15 08:19:48
387,635,2012-08-29 08:14:59
955,294,2012-05-07 07:44:44
937,949,2011-08-22 02:27:15
960,32,2014-02-14 04:05:39
905,510,2013-10-18 09:14:22
132,239,2017-10-31 08:59:48
647,633,2017-08-31 17:23:26
887,887,2012-10-12 08:11:37
519,809,2012-02-20 15:44:08
419,123,2014-05-26 01:12:33
293,446,2017-09-27 13:51:06
266,396,2014-02-21 16:05:44
118,588,2016-10-18 15:50:10
15,884,2013-11-30 20:09:36
167,243,2016-11-10 16:29:04
440,168,2015-09-12 06:44:36
821,796,2010-04-22 00:20:28
167,63,2010-12-11 23:52:07
488,941,2017-03-13 09:02:51
477,746,2013-01-29 18:17:25
631,617,2017-12-22 11:57:53
255,463,2013-04-21 23:51:18
408,577,2015-11-27 06:12:11
271,769,2017-11-13 16:39:02
555,931,2014-12-10 17:13:33
938,849,2011-01-15 01:10:42
475,149,2010-11-29 21:46:10
382,59,2017-11-26 14:48:31
681,357,2015-06-08 21:38:44
347,622,2012-08-10 06:38:07
435,573,2010-03-30 19:47:41
418,998,2012-03-13 04:08:27
630,11,2013-11-26 04:12:06
276,391,2015-05-31 09:47:58
