id,userid,text,timestamp
0,0,Haskell features a type system with type inference and lazy evaluation ,2010-09-10 17:10:56
1,0,Ports are created with the built in function open port ,2011-10-01 04:41:10
2,0,Erlang is a general purpose  concurrent  functional programming language ,2010-08-06 19:32:02
3,0,He looked inquisitively at his keyboard and wrote another sentence ,2012-10-03 09:03:22
4,0,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2011-02-03 06:09:40
5,0,She spent her earliest years reading classic literature  and writing poetry ,2010-12-02 16:26:29
6,0,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2012-11-29 18:28:43
7,0,The arguments can be primitive data types or compound data types ,2011-03-30 06:30:25
8,0,Do you come here often ,2011-06-02 08:45:10
9,1,Erlang is a general purpose  concurrent  functional programming language ,2011-11-21 16:10:58
10,1,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2012-01-12 17:07:03
11,1,Ports are used to communicate with the external world ,2010-09-01 14:32:19
12,1,Where are my pants ,2012-05-29 06:57:26
13,1,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2010-08-28 13:09:07
14,1,Where are my pants ,2010-12-13 01:06:49
15,1,Where are my pants ,2012-06-17 00:06:48
16,1,He looked inquisitively at his keyboard and wrote another sentence ,2010-01-02 01:32:23
17,1,She spent her earliest years reading classic literature  and writing poetry ,2012-01-06 21:12:38
18,2,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2012-03-04 05:12:26
19,2,Haskell is a standardized  general purpose purely functional programming language  with non strict semantics and strong static typing ,2011-07-03 13:14:56
20,2,In 1989 the building was heavily damaged by fire  but it has since been restored ,2011-03-30 10:42:17
21,2,They are written as strings of consecutive alphanumeric characters  the first character being lowercase ,2012-09-16 20:26:47
22,2,He looked inquisitively at his keyboard and wrote another sentence ,2011-04-19 14:15:02
23,2,Make me a sandwich ,2011-02-14 17:42:13
24,2,Do you come here often ,2011-06-20 08:08:09
25,2,It is also a garbage collected runtime system ,2010-06-18 00:40:30
26,2,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2011-09-27 02:18:20
27,3,Ports are used to communicate with the external world ,2012-07-16 03:00:10
28,3,I don t even care ,2011-02-22 01:08:15
29,3,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2012-04-12 03:04:07
30,3,Do you come here often ,2012-01-02 19:06:16
31,3,He looked inquisitively at his keyboard and wrote another sentence ,2011-02-13 11:58:49
32,3,Haskell is a standardized  general purpose purely functional programming language  with non strict semantics and strong static typing ,2010-10-20 14:44:51
33,3,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2012-11-12 22:39:31
34,3,Its main implementation is the Glasgow Haskell Compiler ,2010-10-11 10:59:09
35,3,Make me a sandwich ,2011-02-15 14:22:35
36,4,Do you have any idea why this is not working ,2010-01-17 23:26:33
37,4,He looked inquisitively at his keyboard and wrote another sentence ,2011-07-19 07:25:36
38,4,Do you have any idea why this is not working ,2011-12-23 13:20:51
39,4,Type classes first appeared in the Haskell programming language ,2011-03-24 23:24:08
40,4,Make me a sandwich ,2012-10-20 19:20:39
41,4,Do you come here often ,2012-11-13 12:47:58
42,4,Do you come here often ,2011-09-23 04:23:04
43,4,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2011-07-06 02:28:47
44,4,They are written as strings of consecutive alphanumeric characters  the first character being lowercase ,2011-11-16 05:41:21
45,5,Do you have any idea why this is not working ,2011-04-27 21:31:57
46,5,She spent her earliest years reading classic literature  and writing poetry ,2011-08-29 13:47:20
47,5,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2010-01-21 01:12:45
48,5,It is also a garbage collected runtime system ,2010-11-15 08:22:25
